GeneID	AS_1ngS1_3	AS_1ngS1_4	AS_1ngS1_8	AS_1ngS1_7	AS_1ngS1_6	AS_1ngS1_2	AS_1ngS1_5	AS_1ngS1_1	AS_1ngS2_3	AS_1ngS2_1	AS_1ngS2_4	AS_1ngS2_2	AS_1ngS2_5	AS_1ngS2_7	AS_1ngS2_8	AS_1ngS2_6
ENSG00000225972.1	1	3	4	2	3	3	0	0	4	3	3	3	3	1	3	4
ENSG00000225630.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ENSG00000237973.1	8	1	4	2	3	3	1	1	1	2	4	3	2	0	5	3
ENSG00000229344.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248527.1	1	4	5	4	5	1	4	4	4	1	2	3	5	4	4	3
ENSG00000198744.5	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
ENSG00000230368.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187634.10	4	0	4	4	2	2	1	0	0	1	3	0	1	1	2	1
ENSG00000188290.10	7	5	4	4	6	7	10	4	5	7	1	5	10	6	8	8
ENSG00000187608.8	62	63	44	46	80	69	41	55	49	62	41	43	38	50	50	44
ENSG00000078808.16	1	1	3	0	0	4	5	1	2	1	0	6	1	1	0	1
ENSG00000176022.4	2	2	0	0	1	1	2	1	0	1	1	2	1	2	0	5
ENSG00000160087.20	1	0	2	2	0	2	1	1	2	2	0	2	1	4	1	0
ENSG00000169972.11	3	2	2	0	3	3	1	1	1	3	5	2	2	3	0	1
ENSG00000127054.18	2	2	1	2	0	4	2	0	2	1	1	2	2	1	0	3
ENSG00000175756.13	26	17	12	18	30	21	18	23	19	20	19	25	23	13	20	25
ENSG00000221978.11	2	0	2	1	0	1	1	0	0	2	1	3	0	2	1	1
ENSG00000242485.5	25	17	28	22	24	23	25	16	17	13	22	16	7	18	21	16
ENSG00000160075.11	14	8	10	9	13	18	12	8	10	11	10	8	8	7	10	8
ENSG00000197530.12	2	1	1	1	0	0	1	2	1	1	0	1	0	0	2	1
ENSG00000248333.7	2	5	2	3	5	5	5	2	6	1	6	7	1	3	3	3
ENSG00000078369.17	1	1	4	0	3	4	1	2	2	1	3	4	2	1	5	5
ENSG00000162585.16	3	1	5	5	7	1	8	4	9	2	1	6	3	7	4	4
ENSG00000116151.13	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000157916.18	20	26	5	14	19	11	11	13	17	7	11	23	11	9	10	16
ENSG00000157911.9	0	1	1	0	2	1	0	1	0	0	0	1	0	0	1	2
ENSG00000272449.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000116213.15	0	0	0	1	0	1	0	0	1	0	1	2	0	1	1	1
ENSG00000116198.12	1	0	1	0	1	0	1	0	1	0	0	3	0	1	3	0
ENSG00000116251.9	116	105	70	87	109	85	87	87	82	72	69	75	60	78	75	93
ENSG00000116237.15	3	3	3	1	1	2	1	1	3	0	1	1	5	2	3	2
ENSG00000225077.2	1	1	0	1	0	1	0	1	0	1	0	0	1	0	1	0
ENSG00000097021.19	0	1	1	1	0	1	2	0	0	1	1	1	0	1	1	0
ENSG00000162408.10	0	1	2	1	0	0	1	0	0	0	0	1	0	0	1	0
ENSG00000171735.18	10	12	15	16	11	17	20	16	9	11	14	13	11	8	14	16
ENSG00000049245.12	0	3	2	3	3	2	4	1	3	1	1	4	0	2	3	0
ENSG00000116288.12	50	39	52	49	56	52	41	32	51	34	39	43	27	39	41	53
ENSG00000142599.17	0	0	1	1	2	3	0	2	0	1	1	0	0	0	0	3
ENSG00000074800.13	92	83	71	74	88	79	73	61	99	84	84	109	63	71	83	100
ENSG00000171603.16	2	3	0	1	1	0	0	2	1	2	0	3	1	0	0	2
ENSG00000178585.14	1	0	0	2	1	0	1	1	1	0	0	0	0	0	2	1
ENSG00000162441.11	3	3	2	2	2	4	0	2	5	2	1	2	1	1	3	2
ENSG00000142657.20	1	1	2	2	1	0	1	1	0	2	2	2	1	1	0	2
ENSG00000175279.21	3	3	9	3	5	3	5	3	6	2	2	7	4	1	2	5
ENSG00000160049.11	3	2	1	5	1	2	2	1	3	2	1	6	6	1	1	1
ENSG00000120948.15	2	3	0	2	1	1	2	3	1	3	0	2	0	4	0	1
ENSG00000116649.9	5	8	4	3	9	7	6	5	8	7	7	9	7	3	7	7
ENSG00000171824.13	2	0	2	0	1	0	0	1	3	2	0	0	1	0	2	2
ENSG00000230337.1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0
ENSG00000120942.13	0	1	1	0	0	0	1	0	1	0	1	1	1	0	1	0
ENSG00000116670.14	6	11	7	8	15	8	10	9	5	4	6	4	10	4	5	9
ENSG00000177674.15	12	16	7	6	13	15	7	10	8	13	8	9	6	10	7	12
ENSG00000177000.10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000116685.15	1	0	0	1	2	0	1	0	1	3	0	1	0	0	3	0
ENSG00000083444.16	1	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0
ENSG00000048707.13	0	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0
ENSG00000116731.22	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000171729.13	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSG00000142634.12	4	3	2	3	5	4	2	4	9	5	6	6	3	4	3	7
ENSG00000132906.17	2	2	0	7	1	1	1	0	1	1	1	3	1	3	4	2
ENSG00000116138.12	0	1	0	0	0	1	0	0	0	0	1	0	1	2	1	0
ENSG00000197312.11	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
ENSG00000116786.11	0	0	0	1	0	1	0	0	0	0	1	0	0	0	2	0
ENSG00000162458.12	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000233954.6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000179743.4	0	0	1	0	0	0	2	1	0	0	0	2	0	0	0	1
ENSG00000065526.10	0	0	0	0	1	1	0	0	0	0	0	3	0	1	0	1
ENSG00000055070.16	4	8	6	7	10	7	4	4	4	3	6	8	5	5	3	8
ENSG00000117118.9	22	24	17	14	25	15	9	18	18	20	18	15	12	15	6	12
