Variable	GG_1ngS1_1	GG_1ngS1_2	GG_1ngS1_3	GG_1ngS1_4	GG_1ngS1_5	GG_1ngS1_6	GG_1ngS1_7	GG_1ngS1_8	GG_1ngS2_1	GG_1ngS2_2	GG_1ngS2_3	GG_1ngS2_4	GG_1ngS2_5	GG_1ngS2_6	GG_1ngS2_7	GG_1ngS2_8
ENSG00000279457.3	0	0	2	0	1	0	1	0	1	0	0	0	0	0	0	0
ENSG00000225630.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000237973.1	2	6	6	3	2	3	2	3	2	1	1	3	2	2	3	4
ENSG00000229344.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000240409.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000248527.1	5	1	2	6	5	5	3	5	1	4	4	2	6	4	4	4
ENSG00000198744.5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000230021.7	0	0	0	0	0	1	0	2	0	1	0	0	0	0	1	0
ENSG00000228327.2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
ENSG00000237491.8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000228794.8	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000225880.5	0	0	1	2	0	0	0	0	0	1	1	1	0	0	2	0
ENSG00000241180.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000223764.2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000187634.10	0	2	4	1	3	3	4	4	1	1	0	4	2	1	1	2
ENSG00000188976.10	1	0	0	1	0	2	1	1	0	3	0	0	0	0	1	0
ENSG00000187583.10	2	0	1	0	0	0	0	4	0	1	0	0	0	0	1	0
ENSG00000187642.9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000188290.10	4	8	8	6	10	6	5	5	8	5	6	2	10	10	7	8
ENSG00000187608.8	58	76	70	69	46	80	50	49	67	46	56	46	41	48	51	51
ENSG00000242590.1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	2	0
ENSG00000217801.9	1	0	0	1	0	2	2	1	0	0	0	0	1	0	2	2
ENSG00000131591.17	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
ENSG00000078808.16	2	4	1	1	5	0	0	3	2	8	4	0	1	3	3	0
ENSG00000176022.4	1	1	2	2	2	1	0	0	1	2	0	1	1	5	2	0
ENSG00000184163.3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
ENSG00000160087.20	1	2	1	1	1	0	2	2	2	2	2	0	1	0	4	1
ENSG00000169972.11	2	3	3	3	1	3	0	2	3	3	2	5	2	1	3	1
ENSG00000131584.18	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0
ENSG00000274153.1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
ENSG00000240731.1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0
ENSG00000127054.18	0	4	1	2	2	0	1	1	1	2	2	1	2	3	1	0
ENSG00000224051.6	1	3	0	1	2	0	0	1	1	2	0	0	0	0	1	2
ENSG00000107404.17	1	1	1	2	1	0	0	0	0	0	1	0	0	0	1	1
ENSG00000175756.13	24	21	29	21	18	32	19	16	23	25	21	21	24	26	17	20
ENSG00000221978.11	0	2	2	0	1	0	1	2	4	4	0	1	1	1	2	2
ENSG00000224870.6	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0
ENSG00000264293.2	1	2	3	0	1	0	2	2	1	0	1	5	0	2	0	2
ENSG00000242485.5	16	22	27	18	29	24	23	29	14	20	17	21	7	16	21	22
ENSG00000160072.19	0	0	0	0	0	0	0	1	2	1	0	0	0	1	0	0
ENSG00000197785.13	0	0	0	0	0	0	0	1	2	0	1	0	0	0	1	0
ENSG00000160075.11	9	21	14	8	13	14	10	11	13	9	11	11	9	13	8	11
ENSG00000215014.4	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0
ENSG00000197530.12	3	1	3	2	2	1	1	1	1	5	2	2	0	2	0	2
ENSG00000272106.1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
ENSG00000189409.12	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ENSG00000189339.11	1	0	0	1	1	2	0	1	2	1	1	0	1	2	1	1
ENSG00000248333.7	3	11	3	8	8	10	5	6	4	8	8	10	3	2	5	3
ENSG00000268575.1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0
ENSG00000008130.15	1	0	0	1	0	1	1	0	0	3	0	0	0	3	0	0
ENSG00000078369.17	2	4	2	1	1	3	0	4	1	4	2	4	3	5	1	5
ENSG00000231050.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000067606.15	0	2	0	0	2	1	1	1	0	0	0	0	0	0	1	0
ENSG00000162585.16	4	1	3	2	8	8	5	5	3	6	9	1	4	4	7	6
ENSG00000157933.9	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0
ENSG00000272161.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000116151.13	2	0	0	0	1	0	2	0	1	0	0	0	1	0	1	0
ENSG00000157916.18	14	12	22	33	11	19	14	6	8	25	22	12	11	17	10	12
ENSG00000157911.9	1	1	0	1	0	2	0	1	0	1	0	0	0	2	0	1
ENSG00000149527.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000157881.13	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272449.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000215912.10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
